player_id	year	player_name	School	POS	HT	WT	ARM	HAND	40 yd	vert	broad	explosive_score	SPEED	DYNAMIC SPEED
6850	2016	Sandland Beau	Montana State	TE	6.333333333	253	34.25	10.13	4.74	35	10.33333333	0.947640351	-1.327290749	0.410759477
6851	2021	Sandon McCoy	Army	FB	5.833333333	215	32	9.13	4.78	32	9.5	0.801642857	-4.934361142	-7.447781282
6852	2001	Santana Moss	Miami (FL)	WR	5.833333333	181			4.31	42	0	0.4344	0.319954115	
6853	2003	Santonio Beard		RB	6.083333333	222			4.62	31.5	9.916666667	0.805383562	-1.744677154	
6854	2006	Santonio Holmes	Ohio State	WR	5.885416667	188	32	9.63	4.35	38	10.5	0.795922124	0.23282458	-2.238840364
6855	2019	Saquan Hampton	Rutgers	FS	6.08	206	31.63	8.63	4.48	34	10.41	0.795483004	-0.966877657	-2.18654924
6856	2023	SaRodorick Thompson	Texas Tech	RB	5.916666667	207	31.63	9	4.67	32.5	10	0.787183099	-4.219184351	-5.916836507
6857	2001	Saul Patu		EDGE	6.25	272			5.01	30.5	9.333333333	0.916337778	-3.947429573	
6858	2020	Savion Harris	UTSA	LB	6	234	31.38	9.38	4.7	33	9.25	0.849875	-1.286554749	-4.310954064
6859	2016	Schobert, Joe	Wisconsin	EDGE	6.083333333	244	31.5	9.75	4.76	33.5	9.25	0.880739726	-1.614937057	0.40035209
6860	2024	Schrader, Cody	Missouri	RB	5.666666667	202	28.13	9.13	4.61	33		0.392117647	-2.281062146	
6861	2021	Scooter Harrington	Stanford	TE	6.333333333	250	34.75	10.13	5.19	29	8.75	0.784539474	-11.39477876	-1.377864499
6862	2007	Scott Chandler	Iowa	TE	6.583333333	270			4.78	30	9.25	0.852721519	-1.266841157	
6863	1999	Scott Covington	Miami (FL)	QB	6.166666667	219			4.67	34	9.083333333	0.778831081	-3.73429037	
6864	2014	Scott Crichton	Oregon St.	EDGE	6.25	273			4.84	31.5	9	0.91728	-0.288361	2.085803885
6865	1999	Scott Dreisbach		QB	6.25	216			4.75	33	9.333333333	0.75648	-6.406047268	
6866	2002	Scott Fujita	California	OLB	6.5	248			4.64	42	10.16666667	0.986700855	-0.722691994	
6867	2004	Scott Jackson		OC	6.333333333	300			4.98	30.5	8.75	0.965131579	-0.150299541	
6868	1999	Scott Kiernan		OG	6.25	307			5.58	28	7.833333333	0.907355556	-10.66896414	
6869	2003	Scott Kooistra	North Carolina State	OT	6.5	316			5.14	31	8.583333333	0.989188034	-2.349034408	
6870	2010	Scott Long		WR	6.166666667	216	31.25	9.75	4.46	41.5	10.25	0.903405405	0.50357179	5.802956283
6871	2011	Scott Lutrus		OLB	6.166666667	241	31.13	10	4.68	38	10.08333333	0.954772523	-0.78563438	
6872	2009	Scott McKillop	Pittsburgh	ILB	6.083333333	244			4.7	35.5	9.916666667	0.938675799	-0.334076505	
6873	2019	Scott Miller	Bowling Green	WR	5.75	174			4.36	34	10.25	0.7	-1.55	-6.02
6874	2005	Scott Mruczkowski	Bowling Green	OC	6.416666667	321			5.29		0	0	-4.174232574	
6875	2002	Scott Peters	Arizona State	OC	6.25	300			5.07	33.5	8.083333333	0.988666667	-1.448695374	
6876	2018	Scott Quessenberry	UCLA	OC	6.333333333	310			5.09	33.5	9.25	1.074802632	-1.08812677	1.89646187
6877	2004	Scott Rislov		QB	6.166666667	224			4.95	30	9.916666667	0.783495495	-9.173299126	
