player_id,year,player_name,School,POS,HT,WT,ARM,HAND,40 yd,vert,broad,explosive_score,SPEED,DYNAMIC SPEED,canonical_position,explosive_percentile,speed_percentile,dynamic_speed_percentile
1333,2019,A.J. Brown,Ole Miss,WR,6.08,226,32.875,9.75,4.49,36.5,10,0.885910088,1.700876724,0.022015431,WR,95.61,97.95,85.86
1334,2010,A.J. Edds,Iowa,OLB,6.333333333,246,32.75,9.13,4.62,33,9.75,0.869092105,0.302794202,,EDGE,36.03,77.54,
1335,2020,A.J. Epenesa,Iowa,EDGE,6.41,275,34.5,10.13,5.1,32.5,9.75,0.952775611,-6.356397879,-0.567668444,EDGE,77.67,3.05,48.07
1336,2011,A.J. Green,Georgia,WR,6.333333333,211,34.38,9.25,4.48,34.5,10.5,0.79125,-1.480601015,-2.381067496,WR,67.18,64.59,62.35
1337,2010,A.J. Jefferson,,DC,6.083333333,193,32.5,9.25,4.42,44,10.5,0.853958904,-1.573626241,,CB,94.03,66.75,
1338,2012,A.J. Jenkins,Illinois,WR,6,190,32.75,9.5,4.39,38,10.33333333,0.78287037,-0.93887718,-1.13001142,WR,62.69,73.27,75.5
1339,2013,A.J. Klein,Iowa State,ILB,6.083333333,250,32.88,10.25,4.66,,9.416666667,0.451484018,1.344485175,,LB,16.74,88.09,
1340,2006,A.J. Nicholson,Florida State,OLB,6.083333333,252,,,4.88,,9.666666667,0.467178082,-3.028381971,,EDGE,13.13,24.72,
1341,2020,A.J. Terrell,Clemson,DC,6.08,195,31.25,9,4.43,34.5,10.75,0.771073191,-1.48277034,,CB,58.2,68.56,
1342,2009,A.Q. Shipley,Penn State,OC,6.083333333,304,,,5.19,31,8.333333333,1.002228311,-2.247628876,,IOL,82.62,79.51,
1343,2023,A.T. Perry,Wake Forest,WR,6.25,198,33.25,9.25,4.47,35,10.83333333,0.77,-2.765802484,,WR,55.58,45.95,
1344,2021,Aaron Banks,Notre Dame,IOL,6.416666667,325,33.13,10.13,5.34,31,8.333333333,1.015800866,-4.648854457,0.161547041,IOL,87.05,52.13,71.9
1345,1999,Aaron Brooks,Virginia,QB,6.333333333,203,,,4.6,35.5,10,0.753236842,-5.396061274,,QB,60.39,67.04,
1346,2024,Aaron Casey,Indiana,LB,6,231,,,4.75,30,9.75,0.8229375,-2.803839453,,LB,36.86,38.43,
1347,2012,Aaron Corp,,QB,6.333333333,215,32,9.38,4.72,31.5,8.833333333,0.70629386,-6.313237587,-3.603512762,QB,33.24,59.56,47.24
1348,1999,Aaron Dalan,,OT,6.666666667,328,,,5.24,23.5,8.25,0.85895,-3.860272257,,OT,24.34,59.01,
1349,2015,Aaron Davis,Colorado St.,OLB,6,225,,,4.95,29,8.916666667,0.752604167,-8.060907057,-5.593750224,EDGE,14.81,1.13,5.96
1350,2007,Aaron Fairooz,,WR,6.5,209,,,4.49,36,10.41666667,0.776604701,-2.781094054,,WR,59.35,45.66,
1351,2000,Aaron Fields,,EDGE,6.333333333,243,,,4.76,34,9.583333333,0.863822368,-3.136870747,,EDGE,33.33,23.87,
1352,2005,Aaron Francisco,,DS,6.166666667,211,,,4.74,35,9.416666667,0.775092342,-6.507668333,,S,46.86,8.77,
1353,2020,Aaron Fuller,Washington,WR,5.91,188,29.75,8.88,4.64,34,9.83,0.725332205,-6.547224031,-7.158276152,WR,32.44,7.22,13.35
1354,2000,Aaron Humphrey,,EDGE,6.25,254,,,5.1,34,9.916666667,0.930768889,-8.385925301,,EDGE,67.12,0.9,
1355,2003,Aaron Hunt,Texas Tech,EDGE,6.25,262,,,4.86,30,8.833333333,0.851208889,-2.181898918,,EDGE,29.18,37.02,
1356,2009,Aaron Kelly,,WR,6.416666667,204,32.75,9.5,4.49,38,9.916666667,0.770519481,-3.119996564,-8.826284399,WR,55.73,40.78,6.77
1357,2002,Aaron Lockett,Kansas State,WR,5.666666667,155,,,4.31,35,9.916666667,0.63557598,-3.161585087,,WR,15.65,40.2,
1358,2009,Aaron Maybin,Penn State,EDGE,6.333333333,249,,,4.78,38,10.33333333,0.971973684,-2.733024222,-6.018603712,EDGE,84.51,29.23,4.21
1359,2021,Aaron McAllister,Charlotte,RB,5.833333333,219,30.5,8.63,4.76,32,9.75,0.827507143,-3.874532533,-5.985753324,RB,58.85,13.96,12.44
1360,2013,Aaron Mellette,Elon,WR,6.166666667,217,33.13,9.63,4.54,33.5,10.25,0.81375,-1.135866928,-3.695096133,WR,77.29,69.8,45.22
1361,2020,Aaron Parker,Rhode Island,WR,6.16,209,31.13,9.13,4.57,26.5,9.33,0.669014881,-2.951943423,-2.293389148,WR,17.94,43.02,62.95
1362,2021,Aaron Robinson,UCF,DC,5.916666667,186,30.25,8.75,4.39,37,10.25,0.763647887,-1.151285899,-3.890342355,CB,53.88,72.74,47.5
1363,2005,Aaron Rodgers,California,QB,6.166666667,223,,,4.71,34.5,9.166666667,0.802599099,-4.027755061,-6.90944778,QB,81.99,78.95,12.6
1364,2007,Aaron Ross,Texas,DC,6.083333333,193,,,4.44,34,9.833333333,0.72352968,-2.033235409,,CB,31.64,59.79,
1365,2007,Aaron Rouse,Virginia Tech,DS,6.333333333,223,,,4.58,35,0,0.410789474,-2.007682813,,S,18.4,62.13,
1366,2001,Aaron Schobel,TCU,EDGE,6.333333333,263,,,4.75,38,9.916666667,1.006436404,-0.19839838,,EDGE,92.48,68.74,
1367,1999,Aaron Smith,Northern Colorado,EDGE,6.416666667,279,,,5.06,29.5,9.166666667,0.892558442,-5.018981153,,EDGE,46.69,8.58,
1368,1999,Aaron Stecker,,RB,5.833333333,210,,,4.84,32.5,9.416666667,0.7855,-7.051225338,,RB,36.84,1.31,
1369,2003,Aaron Walker,Florida,TE,6.5,252,,,4.72,33.5,9.583333333,0.866384615,-1.918783884,,TE,50.23,51.64,
1370,2011,Aaron Williams,Texas,DC,6.083333333,204,31.5,9.25,4.55,37.5,10.58333333,0.833232877,-2.864154281,,CB,88.69,45.23,
1371,2016,"Abdesmad, Mehdi",Boston College,DL,6.5,284,33.38,9.75,5.1,29.5,9,0.888410256,-5.664779682,-2.806841499,DT,34.42,9.93,26.67
1372,2002,Abdual Howard,,DS,6.083333333,209,,,4.64,,10,0.400821918,-4.130672435,,S,17.3,28.52,
1373,2006,Abdul Hodge,Iowa,ILB,6.083333333,236,,,4.76,31,9,0.808219178,-2.760224565,,LB,32.2,39.33,
1374,2005,Abraham Elimimian,,DC,5.833333333,190,,,4.62,39,10.08333333,0.806595238,-5.357119587,,CB,79.16,15.72,
1375,2007,Abraham Wright,Colorado,EDGE,6.166666667,242,,,4.9,31,9.25,0.829013514,-5.377324055,,EDGE,22.9,7.34,
1376,2013,Ace Sanders,South Carolina,WR,5.583333333,173,29.5,8.88,4.58,32,9.75,0.682962687,-5.966823813,-2.936256317,WR,20.42,10.54,54.98
1377,2001,Adam Archuleta,Arizona State,DS,6.083333333,211,,,4.46,,0,0,0.20120379,,S,6.21,90.98,
1378,2021,Adam Bay,Wisconsin,LS,5.916666667,240,31.5,9.38,5.19,26,8.333333333,0.745915493,-10.36996657,-6.775249845,LS,53.85,69.23,70.0
1379,2005,Adam Bergen,,TE,6.416666667,259,,,4.78,38,10.08333333,0.986106061,-1.82266048,,TE,96.17,53.27,
1380,2008,Adam Bishop,,TE,6.416666667,248,,,4.98,27,9.416666667,0.772450216,-7.643575296,,TE,21.17,3.04,
1381,2007,Adam Carriker,Nebraska,EDGE,6.5,296,,,4.9,33.5,9.166666667,0.995521368,-0.002511837,,EDGE,89.79,72.01,
1382,2000,Adam Davis,,OG,6.333333333,309,,,5.66,26,7.666666667,0.859236842,-12.54852177,,IOL,26.56,2.3,
1383,2012,Adam Gettis,Iowa,OG,6.166666667,293,33.13,9.5,5,31,9.333333333,1.008342342,-0.436164403,-5.648361741,IOL,84.75,91.15,17.14
1384,2011,Adam Grant,,OT,6.5,325,34,10.5,5.54,26.5,8.25,0.922916667,-9.119558795,,OT,48.68,11.2,
1385,2001,Adam Haayer,Minnesota,OG,6.5,298,,,5.3,,0,0,-7.89699517,,IOL,4.67,15.74,
1386,2006,Adam Jennings,Fresno State,WR,5.75,181,,,4.44,37.5,9.833333333,0.754603865,-2.264397329,,WR,46.28,53.27,
1387,2021,Adam Jewell,Air Force,IOL,6.166666667,289,32.13,9.5,5.37,27.5,8.916666667,0.917119369,-8.429316572,,IOL,47.05,12.46,
1388,2005,Adam Kieft,Central Michigan,OT,6.583333333,337,,,5.52,33,9.166666667,1.110535865,-7.723334226,,OT,99.25,18.98,
1389,2007,Adam Koets,Oregon State,OT,6.416666667,298,,,5.08,32,8.833333333,0.973982684,-2.922974589,,OT,71.51,68.31,
1390,2021,Adam Krumholz,Wisconsin,WR,6,193,32.75,9,4.53,35.5,9.833333333,0.749662037,-3.684658256,-3.240093066,WR,43.23,32.49,52.19
1391,2021,Adam Prentice,South Carolina,FB,5.916666667,251,32,9.13,4.83,35.5,9.666666667,0.980431925,-1.126955274,0.702936122,FB,100.0,100.0,85.71
1392,2015,Adam Shead,Oklahoma,OG,6.333333333,338,,,5.74,,0,0,-10.1573879,,IOL,4.67,6.56,
1393,2005,Adam Snyder,Oregon,OG,6.5,316,,,5.34,28.5,7.75,0.901410256,-6.331487109,,IOL,40.66,31.8,
1394,2008,Adam Tafralis,,QB,6.083333333,221,,,4.78,32,9,0.768958904,-5.419812181,,QB,68.7,66.76,
1395,2005,Adam Terry,Syracuse,OT,6.666666667,330,,,5.4,28,8,0.924,-6.779510198,,OT,49.25,27.7,
